Planet name,Rp (Rearth),Rp err1 (Rearth),Rp err2 (Rearth),Mp (Mearth),Mp err1 (Mearth),Mp err2 (Mearth),P (days),a (AU),a err1 (AU),a err2 (AU),Kmag,a/Rs,a/Rs err1,a/Rs err2,Rp/Rs,Rp/Rs err1,Rp/Rs err2,stellar Teff (K),Rs (Rsun),Rs err1 (Rsun),Rs err2 (Rsun),Reference,Reference publication date,Archive release date,hasMass,noRadiusUncertainty,noMassUncertainty,noSemimajorAxisUncertainty,noStellarRadiusUncertainty,noARsUncertainty,noRpRsUncertainty,has_all_params_except_mass,Mass reference,Mass reference publication date,Mass archive release date,Non-mass reference,Non-mass reference publication date,Non-mass archive release date,Mdwarf?,Ls (Lsun),I (Iearth),IXUV (Iearth),vesc (km/s)
Kepler-303 b,0.89,0.05,-0.05,0.5973863897376969,,,1.937055,0.024,,,11.596,10.64076646617143,,,0.016823547891391743,0.001282700114714609,-0.001282700114714609,3944.0,0.4849999999822571,0.025,-0.025,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,False,False,True,True,False,True,False,True,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,True,0.050994078546094744,88.53138637122483,527.9410307937167,9.164454413196154
Kepler-225 b,1.2,0.07,-0.07,1.6969462593623765,,,6.738975,0.056,,,13.253,25.08708482823056,,,0.022919721144171335,0.0016430241359339688,-0.0016430241359339688,3682.0,0.47999999998244003,0.02,-0.02,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,False,False,True,True,False,True,False,True,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,True,0.03794078023456561,12.098463085886921,86.152215263937,13.302013309838983
Kepler-249 b,1.09,0.05,-0.05,1.2134736316680255,,,3.306539,0.035,,,11.966,15.614368150350971,,,0.020732361864852084,0.001226333499661398,-0.001226333499661398,3568.0,0.4819999999823668,0.018,-0.018,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,False,False,True,True,False,True,False,True,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,True,0.03373510805676557,27.53886372182339,210.42471787077335,11.802550831374482
Kepler-32 e,1.43,0.18,-0.19,4.08181,,,2.8960052,,,,12.757,13.5,1.5,-1.5,0.02262,0.00053,-0.00053,3787.0,0.5795791553486469,0.016,-0.016,<a refstr=OFIR_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...90O/abstract target=ref>Ofir et al. 2025</a>,2025-02-01,2025-04-16,True,False,True,True,False,False,False,True,<a refstr=OFIR_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...90O/abstract target=ref>Ofir et al. 2025</a>,2025-02-01,2025-04-16,<a refstr=DRESSING__AMP__CHARBONNEAU_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...767...95D/abstract target=ref>Dressing &amp; Charbonneau 2013</a>,2013-04-01,2016-03-10,True,0.06190067459946982,46.7529637972777,248.1943655193584,18.898717386143744
Kepler-186 b,1.07,0.12,-0.12,1.1440308794316423,,,3.8867907,0.0343,0.0046,-0.0046,11.605,15.626277414194456,2.7120942995496584,-2.7120942995496584,0.02075,0.00055,-0.00045,3788.0,0.4727537662335645,0.052,-0.052,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>,2014-04-01,2014-05-14,False,False,True,False,False,False,False,True,,,,<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>,2014-04-01,2014-05-14,True,0.041228593799378134,34.93206702877405,236.64927123490625,11.566472811132384
Kepler-249 d,1.57,0.14,-0.14,3.6693906800337586,,,15.368459,0.097,,,11.966,43.27410601668697,,,0.029862209291575934,0.0028869583511069467,-0.0028869583511069467,3568.0,0.48199999998236687,0.018,-0.018,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,False,False,True,True,False,True,False,True,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,True,0.03373510805676559,3.5854084450243042,27.396139801434526,17.10098425846435
Kepler-296 b,1.61,0.29,-0.27,3.647042611097878,,,10.864384,0.079,0.013,-0.013,12.6,35.5,1.4,-1.7,0.0308,0.0018,-0.0021,3740.0,0.4792305329969598,0.066,-0.087,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,2015-08-01,2015-09-03,False,False,True,False,False,False,False,True,,,,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,2015-08-01,2015-09-03,True,0.040259095711254064,6.431690927538629,44.19842126934613,16.83571004273391
Kepler-1761 b,1.75,0.14,-0.09,4.373302403077746,,,4.04355245,0.0413,,,11.791,4.9,2.4,-2.4,0.030112,0.005941,-0.011802,3871.0,0.5328043570780088,0.042,-0.027,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.057110618948364805,387.43244643586564,2158.5686671722196,17.6831522711317
Kepler-327 b,1.11,0.05,-0.05,1.281822682347411,,,2.549575,0.029,,,11.956,12.674659582207077,,,0.020683650788642427,0.001149130407535601,-0.001149130407535601,3799.0,0.49199999998200106,0.016,-0.016,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,False,False,True,True,False,True,False,True,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-03-01,2014-05-14,True,0.0451747778992771,53.71555041924151,344.47873261260713,12.0206082397831
Kepler-1805 b,1.15,0.07,-0.07,1.4590084487257151,,,8.84784273,0.0699,,,11.811,33.45,3.7,-3.7,0.019043,0.000876,-0.000888,3867.0,0.5536455246512164,0.033,-0.033,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.06141138923000179,8.279419879006465,44.16218519080082,12.599518248011389
